identifier;street_name;longitude;latitude;order_of_page;original_filename;link;date;title
oai:www.wbc.poznan.pl:46605;bacha;16.9160578;52.39157470000001;first_page;0022.djvu;http://www.wbc.poznan.pl/Content/46605;1935.03.05;Dziennik Poranny 1935.03.05 R.1 Nr4
oai:www.wbc.poznan.pl:46605;fredry;16.9177031;52.4096504;first_page;0022.djvu;http://www.wbc.poznan.pl/Content/46605;1935.03.05;Dziennik Poranny 1935.03.05 R.1 Nr4
oai:www.wbc.poznan.pl:46605;warszawska;16.999973100000002;52.41017009999999;first_page;0022.djvu;http://www.wbc.poznan.pl/Content/46605;1935.03.05;Dziennik Poranny 1935.03.05 R.1 Nr4
oai:www.wbc.poznan.pl:46605;żydowska;16.9351622;52.409768;first_page;0022.djvu;http://www.wbc.poznan.pl/Content/46605;1935.03.05;Dziennik Poranny 1935.03.05 R.1 Nr4
oai:www.wbc.poznan.pl:46605;wielkopolska;16.9138111;52.4185789;first_page;0022.djvu;http://www.wbc.poznan.pl/Content/46605;1935.03.05;Dziennik Poranny 1935.03.05 R.1 Nr4
oai:www.wbc.poznan.pl:46605;wrocławska;16.9330846;52.40661530000001;first_page;0022.djvu;http://www.wbc.poznan.pl/Content/46605;1935.03.05;Dziennik Poranny 1935.03.05 R.1 Nr4
oai:www.wbc.poznan.pl:46605;wielka;16.9376537;52.4085841;other_page;0020.djvu;http://www.wbc.poznan.pl/Content/46605;1935.03.05;Dziennik Poranny 1935.03.05 R.1 Nr4
oai:www.wbc.poznan.pl:46605;fredry;16.9177031;52.4096504;other_page;0024.djvu;http://www.wbc.poznan.pl/Content/46605;1935.03.05;Dziennik Poranny 1935.03.05 R.1 Nr4
oai:www.wbc.poznan.pl:46605;plac wolności;16.9274977;52.40782830000001;other_page;0024.djvu;http://www.wbc.poznan.pl/Content/46605;1935.03.05;Dziennik Poranny 1935.03.05 R.1 Nr4
oai:www.wbc.poznan.pl:46605;podgórna;16.931985600000004;52.40564060000001;other_page;0024.djvu;http://www.wbc.poznan.pl/Content/46605;1935.03.05;Dziennik Poranny 1935.03.05 R.1 Nr4
oai:www.wbc.poznan.pl:46605;skośna;16.9152625;52.40723920000001;other_page;0024.djvu;http://www.wbc.poznan.pl/Content/46605;1935.03.05;Dziennik Poranny 1935.03.05 R.1 Nr4
oai:www.wbc.poznan.pl:46605;zamkowa;16.9322096;52.4093313;other_page;0024.djvu;http://www.wbc.poznan.pl/Content/46605;1935.03.05;Dziennik Poranny 1935.03.05 R.1 Nr4
oai:www.wbc.poznan.pl:46605;św. marcin;16.9220679;52.4068771;other_page;0024.djvu;http://www.wbc.poznan.pl/Content/46605;1935.03.05;Dziennik Poranny 1935.03.05 R.1 Nr4
oai:www.wbc.poznan.pl:46605;królewski;16.923454500000002;52.4097365;other_page;0023.djvu;http://www.wbc.poznan.pl/Content/46605;1935.03.05;Dziennik Poranny 1935.03.05 R.1 Nr4
oai:www.wbc.poznan.pl:46605;kocha;16.904563800000002;52.395101000000004;other_page;0023.djvu;http://www.wbc.poznan.pl/Content/46605;1935.03.05;Dziennik Poranny 1935.03.05 R.1 Nr4
oai:www.wbc.poznan.pl:46605;bacha;16.9160578;52.39157470000001;other_page;0023.djvu;http://www.wbc.poznan.pl/Content/46605;1935.03.05;Dziennik Poranny 1935.03.05 R.1 Nr4
oai:www.wbc.poznan.pl:46605;wawrzyniaka;16.8992401;52.4108713;other_page;0021.djvu;http://www.wbc.poznan.pl/Content/46605;1935.03.05;Dziennik Poranny 1935.03.05 R.1 Nr4
oai:www.wbc.poznan.pl:46605;wodna;16.9358969;52.407354100000006;other_page;0021.djvu;http://www.wbc.poznan.pl/Content/46605;1935.03.05;Dziennik Poranny 1935.03.05 R.1 Nr4
